Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave,Year,Month,Day,Location_Galápagos,Location_Great Barrier Reef,Location_Hawaiian Islands,Location_Maldives,Location_Red Sea,Location_South China Sea
15.0313,-75.0429,26.89,8.106,1.0,132,0,2015,8,26,False,False,False,False,False,False
15.0357,-74.9763,28.39,8.01,0.0,98,0,2015,9,1,False,False,False,False,False,False
-18.3094,147.742,28.82,7.981,1.0,119,0,2015,9,8,False,True,False,False,False,False
10.0193,114.9558,28.73,8.048,1.0,100,0,2015,9,14,False,False,False,False,False,True
-0.9359,-90.9376,30.12,8.07,1.0,83,1,2015,9,21,True,False,False,False,False,False
9.9531,115.0258,29.27,8.06,1.0,170,0,2015,9,27,False,False,False,False,False,True
20.0285,38.5568,29.93,8.054,1.0,100,0,2015,10,4,False,False,False,False,True,False
20.0379,38.4614,28.14,8.033,2.0,124,0,2015,10,11,False,False,False,False,True,False
3.3185,73.1273,29.53,7.949,1.0,102,0,2015,10,17,False,False,False,True,False,False
-0.8994,-90.9624,26.88,8.047,1.0,146,0,2015,10,24,True,False,False,False,False,False
-18.3236,147.71,28.57,8.016,0.0,151,0,2015,10,30,False,True,False,False,False,False
-18.2554,147.5979,28.78,8.011,1.0,129,0,2015,11,6,False,True,False,False,False,False
-0.9934,-90.9713,29.26,8.078,1.0,94,0,2015,11,13,True,False,False,False,False,False
19.8801,-155.6065,27.52,8.158,1.0,135,0,2015,11,19,False,False,True,False,False,False
9.937,115.0459,31.68,8.038,1.0,65,1,2015,11,26,False,False,False,False,False,True
19.9758,38.5633,27.44,8.093,1.0,142,0,2015,12,2,False,False,False,False,True,False
19.8505,-155.5858,23.64,8.096,2.0,164,0,2015,12,9,False,False,True,False,False,False
-1.0162,-90.884,26.35,8.071,0.0,143,0,2015,12,16,True,False,False,False,False,False
-18.215,147.6274,30.24,8.016,0.0,87,1,2015,12,22,False,True,False,False,False,False
10.0231,115.01,27.6,8.071,1.0,123,0,2015,12,29,False,False,False,False,False,True
-0.9481,-90.9325,30.88,7.941,0.0,128,1,2016,1,4,True,False,False,False,False,False
3.1052,73.2131,29.38,8.046,0.0,101,0,2016,1,11,False,False,False,True,False,False
19.8864,-155.6075,27.62,8.11,1.0,134,0,2016,1,17,False,False,True,False,False,False
19.9654,38.545,28.96,8.081,2.0,124,0,2016,1,24,False,False,False,False,True,False
-0.9952,-90.9936,29.62,8.058,1.0,108,0,2016,1,31,True,False,False,False,False,False
19.9027,-155.5189,27.61,8.095,1.0,125,0,2016,2,6,False,False,True,False,False,False
9.9891,115.0549,29.74,8.066,1.0,127,0,2016,2,13,False,False,False,False,False,True
-18.286,147.7333,28.03,8.076,1.0,122,0,2016,2,19,False,True,False,False,False,False
10.0048,115.0298,27.27,8.179,1.0,117,0,2016,2,26,False,False,False,False,False,True
9.9393,115.0579,29.69,8.057,1.0,117,0,2016,3,4,False,False,False,False,False,True
19.9994,38.4551,28.61,8.014,1.0,133,0,2016,3,10,False,False,False,False,True,False
19.9926,38.4587,28.02,8.08,0.0,116,0,2016,3,17,False,False,False,False,True,False
-18.3282,147.7114,28.87,8.017,1.0,109,0,2016,3,23,False,True,False,False,False,False
3.2144,73.1483,26.39,8.056,1.0,137,0,2016,3,30,False,False,False,True,False,False
-0.9383,-90.8918,29.79,8.016,1.0,106,0,2016,4,5,True,False,False,False,False,False
-18.3372,147.6983,28.07,8.075,1.0,111,0,2016,4,12,False,True,False,False,False,False
19.9228,-155.5062,28.34,8.073,1.0,131,0,2016,4,19,False,False,True,False,False,False
-0.9739,-90.9544,28.52,8.055,1.0,108,0,2016,4,25,True,False,False,False,False,False
3.204,73.2456,30.68,8.054,2.0,130,1,2016,5,2,False,False,False,True,False,False
-18.3255,147.7428,28.78,8.154,1.0,105,0,2016,5,8,False,True,False,False,False,False
-0.9958,-90.9956,25.31,8.087,1.0,140,0,2016,5,15,True,False,False,False,False,False
15.0075,-74.9829,31.31,8.041,0.0,83,1,2016,5,22,False,False,False,False,False,False
9.9551,115.0246,26.52,8.181,1.0,157,0,2016,5,28,False,False,False,False,False,True
14.9765,-75.0857,30.53,8.004,1.0,118,1,2016,6,4,False,False,False,False,False,False
-1.0335,-90.9956,28.51,8.052,0.0,113,0,2016,6,10,True,False,False,False,False,False
15.0311,-75.0534,28.29,8.06,1.0,129,0,2016,6,17,False,False,False,False,False,False
-18.2515,147.643,26.2,8.16,0.0,147,0,2016,6,23,False,True,False,False,False,False
3.1654,73.2983,28.67,8.105,1.0,119,0,2016,6,30,False,False,False,True,False,False
-18.1841,147.787,28.13,8.106,1.0,133,0,2016,7,7,False,True,False,False,False,False
3.2712,73.1725,29.53,8.082,2.0,83,0,2016,7,13,False,False,False,True,False,False
9.9408,114.898,28.1,8.094,1.0,146,0,2016,7,20,False,False,False,False,False,True
-18.2834,147.7806,26.43,8.006,1.0,139,0,2016,7,26,False,True,False,False,False,False
20.0192,38.4984,25.4,8.108,0.0,131,0,2016,8,2,False,False,False,False,True,False
-0.9203,-90.9473,27.09,8.053,2.0,118,0,2016,8,9,True,False,False,False,False,False
-18.2902,147.747,27.02,8.105,0.0,126,0,2016,8,15,False,True,False,False,False,False
-0.9934,-90.971,26.95,8.053,0.0,117,0,2016,8,22,True,False,False,False,False,False
3.301,73.2225,27.45,8.082,1.0,128,0,2016,8,28,False,False,False,True,False,False
14.989,-74.9693,29.64,8.001,1.0,100,0,2016,9,4,False,False,False,False,False,False
14.9862,-75.1151,26.23,8.164,0.0,167,0,2016,9,11,False,False,False,False,False,False
19.9875,38.5288,28.97,8.195,1.0,132,0,2016,9,17,False,False,False,False,True,False
14.9936,-75.0478,26.09,8.108,0.0,132,0,2016,9,24,False,False,False,False,False,False
19.8257,-155.6151,26.88,8.167,1.0,149,0,2016,9,30,False,False,True,False,False,False
9.9996,115.074,28.62,8.005,1.0,141,0,2016,10,7,False,False,False,False,False,True
-18.2602,147.6473,28.21,8.012,1.0,102,0,2016,10,13,False,True,False,False,False,False
-18.2408,147.7947,26.4,8.12,2.0,131,0,2016,10,20,False,True,False,False,False,False
-18.3115,147.6696,27.2,8.078,0.0,120,0,2016,10,27,False,True,False,False,False,False
19.9103,-155.5853,28.14,8.012,0.0,114,0,2016,11,2,False,False,True,False,False,False
10.0378,115.025,27.03,8.084,0.0,145,0,2016,11,9,False,False,False,False,False,True
-18.3706,147.7264,27.51,8.098,0.0,118,0,2016,11,15,False,True,False,False,False,False
-1.044,-91.047,28.57,8.062,1.0,105,0,2016,11,22,True,False,False,False,False,False
10.0319,114.9169,28.4,7.991,2.0,111,0,2016,11,29,False,False,False,False,False,True
3.2052,73.1777,27.92,8.112,1.0,117,0,2016,12,5,False,False,False,True,False,False
-0.912,-91.0221,29.29,8.106,0.0,74,0,2016,12,12,True,False,False,False,False,False
14.9602,-74.9711,28.2,8.075,1.0,113,0,2016,12,18,False,False,False,False,False,False
-18.2828,147.6914,30.25,8.028,1.0,107,1,2016,12,25,False,True,False,False,False,False
-18.3077,147.6748,27.85,8.083,0.0,120,0,2016,12,31,False,True,False,False,False,False
-18.2726,147.803,29.81,8.008,2.0,124,0,2017,1,7,False,True,False,False,False,False
-18.3075,147.5973,26.99,7.987,1.0,129,0,2017,1,14,False,True,False,False,False,False
19.8977,-155.499,28.99,8.029,0.0,127,0,2017,1,20,False,False,True,False,False,False
9.8894,115.0118,29.66,7.953,1.0,125,0,2017,1,27,False,False,False,False,False,True
-0.9369,-90.9864,29.45,8.145,1.0,113,0,2017,2,2,True,False,False,False,False,False
-18.2747,147.6762,27.23,8.117,2.0,119,0,2017,2,9,False,True,False,False,False,False
19.9004,-155.6067,29.22,8.052,2.0,128,0,2017,2,16,False,False,True,False,False,False
19.8713,-155.5963,27.03,8.057,2.0,140,0,2017,2,22,False,False,True,False,False,False
-0.916,-91.0117,29.8,8.092,2.0,113,0,2017,3,1,True,False,False,False,False,False
3.2966,73.182,26.63,7.998,1.0,161,0,2017,3,7,False,False,False,True,False,False
20.0327,38.4972,28.92,7.985,2.0,152,0,2017,3,14,False,False,False,False,True,False
15.0065,-74.9945,29.59,8.052,1.0,112,0,2017,3,20,False,False,False,False,False,False
9.9605,115.0236,31.32,8.061,1.0,115,1,2017,3,27,False,False,False,False,False,True
19.9744,38.4505,28.31,8.057,1.0,138,0,2017,4,3,False,False,False,False,True,False
19.9154,38.5765,28.26,8.033,1.0,107,0,2017,4,9,False,False,False,False,True,False
-1.0365,-90.9244,28.61,7.983,0.0,99,0,2017,4,16,True,False,False,False,False,False
19.88,-155.4993,28.11,7.983,1.0,120,0,2017,4,22,False,False,True,False,False,False
19.8832,-155.7176,28.42,8.04,0.0,131,0,2017,4,29,False,False,True,False,False,False
-18.1947,147.7555,28.1,8.003,2.0,162,0,2017,5,6,False,True,False,False,False,False
10.003,115.0007,28.46,8.061,0.0,118,0,2017,5,12,False,False,False,False,False,True
9.9713,114.9727,28.45,8.024,2.0,109,0,2017,5,19,False,False,False,False,False,True
19.9021,-155.5955,30.76,7.872,1.0,113,1,2017,5,25,False,False,True,False,False,False
19.9591,-155.6865,27.99,8.042,1.0,104,0,2017,6,1,False,False,True,False,False,False
9.9611,114.9445,31.13,8.044,0.0,112,1,2017,6,7,False,False,False,False,False,True
20.0361,38.4435,27.71,8.09,1.0,109,0,2017,6,14,False,False,False,False,True,False
-0.9182,-90.9776,27.94,8.097,1.0,132,0,2017,6,21,True,False,False,False,False,False
9.982,115.058,26.88,8.113,1.0,145,0,2017,6,27,False,False,False,False,False,True
19.8813,-155.5665,26.62,8.134,1.0,135,0,2017,7,4,False,False,True,False,False,False
-0.9799,-90.9131,27.44,8.001,1.0,107,0,2017,7,10,True,False,False,False,False,False
19.9271,-155.6468,31.13,7.893,2.0,119,1,2017,7,17,False,False,True,False,False,False
-18.2765,147.6944,27.68,8.086,2.0,127,0,2017,7,24,False,True,False,False,False,False
-18.2319,147.7049,28.73,8.027,0.0,116,0,2017,7,30,False,True,False,False,False,False
19.9122,-155.6683,26.48,8.128,2.0,142,0,2017,8,6,False,False,True,False,False,False
19.8876,-155.5819,29.02,8.013,0.0,103,0,2017,8,12,False,False,True,False,False,False
10.0098,114.9511,29.11,7.953,1.0,129,0,2017,8,19,False,False,False,False,False,True
3.2264,73.2335,29.97,8.104,0.0,120,0,2017,8,26,False,False,False,True,False,False
-18.3791,147.6352,27.56,8.07,0.0,137,0,2017,9,1,False,True,False,False,False,False
9.9637,115.0093,27.37,8.042,1.0,110,0,2017,9,8,False,False,False,False,False,True
19.8506,-155.6504,27.04,8.132,0.0,120,0,2017,9,14,False,False,True,False,False,False
3.3344,73.2454,28.78,8.002,2.0,127,0,2017,9,21,False,False,False,True,False,False
-18.3159,147.7053,32.34,7.968,1.0,98,1,2017,9,27,False,True,False,False,False,False
14.9648,-75.0017,31.16,7.966,1.0,120,1,2017,10,4,False,False,False,False,False,False
-18.2517,147.6711,29.45,8.08,1.0,119,0,2017,10,11,False,True,False,False,False,False
19.9215,38.4636,28.13,8.054,0.0,133,0,2017,10,17,False,False,False,False,True,False
10.0089,114.9332,29.07,8.069,2.0,122,0,2017,10,24,False,False,False,False,False,True
3.2568,73.2624,29.19,8.033,0.0,88,0,2017,10,30,False,False,False,True,False,False
-18.2656,147.7096,28.91,7.978,1.0,99,0,2017,11,6,False,True,False,False,False,False
-18.2344,147.6972,29.52,8.031,2.0,110,0,2017,11,13,False,True,False,False,False,False
-0.9069,-90.9914,28.64,8.024,0.0,112,0,2017,11,19,True,False,False,False,False,False
19.8813,-155.5717,27.78,8.127,1.0,113,0,2017,11,26,False,False,True,False,False,False
-0.9631,-90.9876,30.67,8.016,0.0,113,1,2017,12,2,True,False,False,False,False,False
-1.0281,-90.9522,29.83,8.027,1.0,122,0,2017,12,9,True,False,False,False,False,False
-18.313,147.7697,31.95,7.963,2.0,78,1,2017,12,15,False,True,False,False,False,False
3.2755,73.2997,27.72,8.045,1.0,123,0,2017,12,22,False,False,False,True,False,False
9.9328,114.9541,26.99,8.042,0.0,134,0,2017,12,29,False,False,False,False,False,True
20.0117,38.5775,27.0,8.129,2.0,131,0,2018,1,4,False,False,False,False,True,False
3.2003,73.2544,26.82,8.103,1.0,139,0,2018,1,11,False,False,False,True,False,False
-18.2625,147.7137,32.18,7.944,0.0,75,1,2018,1,17,False,True,False,False,False,False
-18.3183,147.6714,27.54,8.129,1.0,150,0,2018,1,24,False,True,False,False,False,False
19.9715,38.4584,29.21,8.008,1.0,122,0,2018,1,31,False,False,False,False,True,False
-18.277,147.6234,30.82,8.093,2.0,87,1,2018,2,6,False,True,False,False,False,False
3.1834,73.235,29.0,8.073,0.0,145,0,2018,2,13,False,False,False,True,False,False
-18.2959,147.6593,26.43,8.055,1.0,140,0,2018,2,19,False,True,False,False,False,False
-0.8641,-90.9915,28.84,8.042,0.0,134,0,2018,2,26,True,False,False,False,False,False
20.0231,-155.6093,27.77,8.117,2.0,137,0,2018,3,4,False,False,True,False,False,False
20.0923,38.5292,27.96,8.09,0.0,142,0,2018,3,11,False,False,False,False,True,False
3.2438,73.2461,30.1,8.076,0.0,124,1,2018,3,18,False,False,False,True,False,False
-18.2547,147.6908,28.72,8.106,0.0,105,0,2018,3,24,False,True,False,False,False,False
3.2212,73.201,28.54,8.113,1.0,122,0,2018,3,31,False,False,False,True,False,False
-18.2848,147.6312,29.62,8.06,1.0,141,0,2018,4,6,False,True,False,False,False,False
14.9846,-74.989,28.87,8.121,0.0,114,0,2018,4,13,False,False,False,False,False,False
-0.9398,-90.9352,28.78,8.022,1.0,120,0,2018,4,20,True,False,False,False,False,False
19.9505,-155.6341,28.7,8.011,1.0,135,0,2018,4,26,False,False,True,False,False,False
-18.3633,147.6713,29.07,8.117,1.0,113,0,2018,5,3,False,True,False,False,False,False
-18.3149,147.7933,26.33,7.984,1.0,148,0,2018,5,9,False,True,False,False,False,False
3.1777,73.1696,29.56,8.041,1.0,100,0,2018,5,16,False,False,False,True,False,False
19.8328,-155.5392,29.48,8.026,1.0,137,0,2018,5,23,False,False,True,False,False,False
3.1493,73.1444,27.46,8.068,0.0,134,0,2018,5,29,False,False,False,True,False,False
3.1907,73.2383,26.62,8.16,1.0,137,0,2018,6,5,False,False,False,True,False,False
-18.2312,147.7163,29.19,8.065,0.0,119,0,2018,6,11,False,True,False,False,False,False
19.9289,-155.5163,28.79,8.08,0.0,115,0,2018,6,18,False,False,True,False,False,False
19.9688,-155.6166,31.2,7.994,2.0,71,1,2018,6,24,False,False,True,False,False,False
19.9032,-155.6169,29.76,7.992,1.0,100,0,2018,7,1,False,False,True,False,False,False
14.9055,-75.0226,24.86,8.044,1.0,167,0,2018,7,8,False,False,False,False,False,False
15.0393,-74.9787,27.05,8.077,1.0,134,0,2018,7,14,False,False,False,False,False,False
-18.345,147.7744,29.82,8.013,1.0,107,0,2018,7,21,False,True,False,False,False,False
10.0104,114.8979,28.13,8.023,0.0,108,0,2018,7,27,False,False,False,False,False,True
19.9859,38.5899,29.46,8.002,2.0,118,0,2018,8,3,False,False,False,False,True,False
19.9668,-155.5366,28.59,8.016,1.0,129,0,2018,8,10,False,False,True,False,False,False
-18.2674,147.744,29.45,8.083,1.0,102,0,2018,8,16,False,True,False,False,False,False
10.0659,115.0099,31.61,7.953,1.0,114,1,2018,8,23,False,False,False,False,False,True
15.0099,-75.0326,27.77,8.048,2.0,133,0,2018,8,29,False,False,False,False,False,False
20.0261,38.4713,28.46,8.158,0.0,146,0,2018,9,5,False,False,False,False,True,False
3.2246,73.2226,28.68,8.077,1.0,102,0,2018,9,11,False,False,False,True,False,False
3.1899,73.1373,29.1,8.07,1.0,106,0,2018,9,18,False,False,False,True,False,False
19.9755,-155.6441,26.3,8.105,1.0,157,0,2018,9,25,False,False,True,False,False,False
-0.8696,-90.9885,30.12,8.016,1.0,101,1,2018,10,1,True,False,False,False,False,False
20.0442,38.5326,26.14,8.171,0.0,164,0,2018,10,8,False,False,False,False,True,False
14.9687,-74.9802,29.24,8.048,0.0,104,0,2018,10,14,False,False,False,False,False,False
-18.3207,147.6979,30.26,8.042,0.0,96,1,2018,10,21,False,True,False,False,False,False
15.0386,-75.1424,30.22,7.929,1.0,97,1,2018,10,28,False,False,False,False,False,False
-18.3431,147.6345,30.24,7.992,0.0,107,1,2018,11,3,False,True,False,False,False,False
19.8945,-155.5589,28.62,7.984,2.0,133,0,2018,11,10,False,False,True,False,False,False
19.9753,38.4222,27.86,8.138,1.0,139,0,2018,11,16,False,False,False,False,True,False
-18.3045,147.6817,28.02,8.163,1.0,130,0,2018,11,23,False,True,False,False,False,False
15.0215,-74.9485,28.86,8.03,1.0,113,0,2018,11,29,False,False,False,False,False,False
19.8932,-155.5847,29.59,8.031,2.0,120,0,2018,12,6,False,False,True,False,False,False
19.8928,-155.5789,25.5,8.156,1.0,155,0,2018,12,13,False,False,True,False,False,False
15.0499,-75.1448,31.63,7.98,1.0,105,1,2018,12,19,False,False,False,False,False,False
19.948,38.5306,26.92,8.05,1.0,164,0,2018,12,26,False,False,False,False,True,False
-18.2966,147.7101,29.81,8.049,1.0,109,0,2019,1,1,False,True,False,False,False,False
10.0182,115.1202,28.41,8.062,2.0,136,0,2019,1,8,False,False,False,False,False,True
20.0553,38.5594,29.46,7.974,2.0,134,0,2019,1,15,False,False,False,False,True,False
9.9427,115.0151,27.37,8.069,0.0,136,0,2019,1,21,False,False,False,False,False,True
20.0161,38.5211,30.92,8.024,1.0,92,1,2019,1,28,False,False,False,False,True,False
-18.2389,147.7587,26.66,8.117,1.0,148,0,2019,2,3,False,True,False,False,False,False
19.8819,-155.514,28.27,8.061,2.0,119,0,2019,2,10,False,False,True,False,False,False
20.0008,38.4452,26.34,8.173,2.0,128,0,2019,2,17,False,False,False,False,True,False
-1.0034,-91.0733,27.54,8.003,1.0,154,0,2019,2,23,True,False,False,False,False,False
-0.9033,-91.0,31.88,8.032,2.0,81,1,2019,3,2,True,False,False,False,False,False
19.7718,-155.4683,26.42,8.009,1.0,156,0,2019,3,8,False,False,True,False,False,False
20.122,38.5692,29.35,8.063,1.0,124,0,2019,3,15,False,False,False,False,True,False
10.0379,115.0141,28.66,8.044,1.0,107,0,2019,3,21,False,False,False,False,False,True
14.986,-75.0846,28.35,8.004,0.0,104,0,2019,3,28,False,False,False,False,False,False
20.009,38.5696,29.88,7.944,0.0,91,0,2019,4,4,False,False,False,False,True,False
10.047,114.9509,28.16,8.084,1.0,108,0,2019,4,10,False,False,False,False,False,True
20.0053,38.4333,27.6,8.084,0.0,105,0,2019,4,17,False,False,False,False,True,False
3.2248,73.2197,29.33,8.045,1.0,132,0,2019,4,23,False,False,False,True,False,False
20.0063,38.4785,28.68,8.073,1.0,118,0,2019,4,30,False,False,False,False,True,False
3.2048,73.1856,27.51,8.0,1.0,156,0,2019,5,7,False,False,False,True,False,False
19.8346,-155.6174,27.42,8.116,0.0,126,0,2019,5,13,False,False,True,False,False,False
19.9592,-155.6165,28.92,8.0,1.0,147,0,2019,5,20,False,False,True,False,False,False
3.1434,73.2362,29.45,8.052,2.0,107,0,2019,5,26,False,False,False,True,False,False
14.9935,-74.9978,28.28,8.103,1.0,155,0,2019,6,2,False,False,False,False,False,False
14.9721,-75.0685,28.37,8.182,1.0,109,0,2019,6,8,False,False,False,False,False,False
-18.2051,147.7831,27.67,8.095,1.0,152,0,2019,6,15,False,True,False,False,False,False
19.981,38.4898,27.63,8.017,1.0,118,0,2019,6,22,False,False,False,False,True,False
3.1416,73.2224,27.35,8.085,0.0,108,0,2019,6,28,False,False,False,True,False,False
15.0165,-74.9583,25.51,8.129,2.0,168,0,2019,7,5,False,False,False,False,False,False
19.9395,38.5836,29.13,8.002,2.0,112,0,2019,7,11,False,False,False,False,True,False
15.0279,-74.9962,29.31,7.988,1.0,114,0,2019,7,18,False,False,False,False,False,False
14.9293,-75.0056,27.14,8.04,1.0,152,0,2019,7,25,False,False,False,False,False,False
-0.8992,-90.9351,26.86,8.067,2.0,154,0,2019,7,31,True,False,False,False,False,False
-18.28,147.8152,29.09,8.048,1.0,109,0,2019,8,7,False,True,False,False,False,False
10.0067,114.9924,29.56,8.077,1.0,97,0,2019,8,13,False,False,False,False,False,True
14.9334,-75.0918,29.26,7.98,1.0,80,0,2019,8,20,False,False,False,False,False,False
10.0194,115.1246,28.49,8.092,0.0,121,0,2019,8,26,False,False,False,False,False,True
-0.9587,-90.9196,28.06,8.072,0.0,129,0,2019,9,2,True,False,False,False,False,False
-18.3205,147.7488,28.24,8.017,1.0,130,0,2019,9,9,False,True,False,False,False,False
3.1579,73.2221,28.49,8.105,1.0,127,0,2019,9,15,False,False,False,True,False,False
19.8955,-155.5419,30.59,8.036,0.0,99,1,2019,9,22,False,False,True,False,False,False
14.9344,-75.0533,28.04,8.029,1.0,121,0,2019,9,28,False,False,False,False,False,False
-0.951,-90.9391,28.39,8.076,1.0,122,0,2019,10,5,True,False,False,False,False,False
14.9012,-75.047,28.28,7.994,1.0,131,0,2019,10,12,False,False,False,False,False,False
20.0765,38.5609,28.18,8.131,1.0,125,0,2019,10,18,False,False,False,False,True,False
-0.9707,-90.9963,28.05,8.04,1.0,127,0,2019,10,25,True,False,False,False,False,False
15.008,-74.9998,29.16,8.096,1.0,127,0,2019,10,31,False,False,False,False,False,False
9.9258,114.8723,29.9,7.954,0.0,102,0,2019,11,7,False,False,False,False,False,True
14.9415,-75.0901,29.31,8.072,1.0,103,0,2019,11,13,False,False,False,False,False,False
14.8704,-75.0273,29.09,7.964,2.0,116,0,2019,11,20,False,False,False,False,False,False
19.896,-155.5538,28.68,7.998,1.0,136,0,2019,11,27,False,False,True,False,False,False
3.1949,73.2193,27.1,8.056,2.0,120,0,2019,12,3,False,False,False,True,False,False
9.9914,115.0856,26.44,8.01,1.0,162,0,2019,12,10,False,False,False,False,False,True
14.9895,-75.0335,30.06,7.989,1.0,131,1,2019,12,16,False,False,False,False,False,False
10.0339,114.9756,31.74,7.955,1.0,98,1,2019,12,23,False,False,False,False,False,True
19.9118,-155.5177,30.84,8.005,1.0,85,1,2019,12,30,False,False,True,False,False,False
20.023,38.4661,31.52,7.996,1.0,84,1,2020,1,5,False,False,False,False,True,False
10.0092,114.9326,27.04,8.139,1.0,124,0,2020,1,12,False,False,False,False,False,True
3.1505,73.2475,30.28,8.05,0.0,117,1,2020,1,18,False,False,False,True,False,False
9.9622,114.9289,30.75,7.989,1.0,93,1,2020,1,25,False,False,False,False,False,True
20.0664,38.5278,29.18,8.145,1.0,103,0,2020,2,1,False,False,False,False,True,False
20.0464,38.5029,28.9,8.118,0.0,123,0,2020,2,7,False,False,False,False,True,False
-18.2602,147.7528,27.95,8.019,1.0,109,0,2020,2,14,False,True,False,False,False,False
9.9017,115.1028,26.85,8.072,1.0,132,0,2020,2,20,False,False,False,False,False,True
20.0154,38.5408,29.79,7.995,2.0,104,0,2020,2,27,False,False,False,False,True,False
15.0141,-75.0124,30.91,8.026,1.0,106,1,2020,3,4,False,False,False,False,False,False
20.0331,38.5587,28.77,7.98,1.0,123,0,2020,3,11,False,False,False,False,True,False
-18.3197,147.6728,29.38,8.094,1.0,111,0,2020,3,18,False,True,False,False,False,False
15.0154,-74.9149,28.86,8.173,2.0,124,0,2020,3,24,False,False,False,False,False,False
-1.0418,-90.9279,29.07,8.103,0.0,124,0,2020,3,31,True,False,False,False,False,False
-0.9607,-91.0268,28.19,8.014,1.0,114,0,2020,4,6,True,False,False,False,False,False
-0.9244,-90.8821,29.09,7.978,1.0,120,0,2020,4,13,True,False,False,False,False,False
15.0598,-75.0305,28.3,8.055,2.0,110,0,2020,4,20,False,False,False,False,False,False
-18.2547,147.6932,29.13,7.993,1.0,107,0,2020,4,26,False,True,False,False,False,False
15.0361,-75.0186,31.09,7.978,1.0,97,1,2020,5,3,False,False,False,False,False,False
19.9434,-155.6537,25.86,8.027,0.0,165,0,2020,5,9,False,False,True,False,False,False
-18.3147,147.8271,27.65,8.076,0.0,151,0,2020,5,16,False,True,False,False,False,False
10.1003,115.1031,30.31,8.065,0.0,110,1,2020,5,22,False,False,False,False,False,True
15.0389,-75.0276,27.27,8.074,1.0,129,0,2020,5,29,False,False,False,False,False,False
14.9773,-74.9652,29.93,8.026,2.0,127,0,2020,6,5,False,False,False,False,False,False
